,run,score,min-match,min-align,gap,ngrams,ngram-type
230,6_70_300_36_float,350,6,70,300,36,float
367,6_70_300_36_nonfl,1830,6,70,300,36,nonfl
725,6_70_500_12_float,53590,6,70,500,12,float
540,6_70_500_12_nonfl,12380,6,70,500,12,nonfl
323,6_70_500_20_float,1100,6,70,500,20,float
11,6_70_500_20_nonfl,0,6,70,500,20,nonfl
54,6_70_500_28_float,40,6,70,500,28,float
168,6_70_500_28_nonfl,170,6,70,500,28,nonfl
276,6_70_500_36_float,590,6,70,500,36,float
375,6_70_500_36_nonfl,2180,6,70,500,36,nonfl
749,6_70_700_12_float,67510,6,70,700,12,float
550,6_70_700_12_nonfl,13490,6,70,700,12,nonfl
356,6_70_700_20_float,1640,6,70,700,20,float
8,6_70_700_20_nonfl,0,6,70,700,20,nonfl
52,6_70_700_28_float,30,6,70,700,28,float
163,6_70_700_28_nonfl,160,6,70,700,28,nonfl
295,6_70_700_36_float,700,6,70,700,36,float
378,6_70_700_36_nonfl,2320,6,70,700,36,nonfl
752,8_30_100_12_float,71125,8,30,100,12,float
640,8_30_100_12_nonfl,26330,8,30,100,12,nonfl
726,8_30_100_20_float,53950,8,30,100,20,float
514,8_30_100_20_nonfl,9770,8,30,100,20,nonfl
634,8_30_100_28_float,25410,8,30,100,28,float
377,8_30_100_28_nonfl,2305,8,30,100,28,nonfl
481,8_30_100_36_float,7790,8,30,100,36,float
325,8_30_100_36_nonfl,1125,8,30,100,36,nonfl
763,8_30_300_12_float,81160,8,30,300,12,float
620,8_30_300_12_nonfl,22540,8,30,300,12,nonfl
704,8_30_300_20_float,48300,8,30,300,20,float
417,8_30_300_20_nonfl,3710,8,30,300,20,nonfl
589,8_30_300_28_float,17250,8,30,300,28,float
171,8_30_300_28_nonfl,170,8,30,300,28,nonfl
99,8_30_300_36_float,90,8,30,300,36,float
241,8_30_300_36_nonfl,400,8,30,300,36,nonfl
772,8_30_500_12_float,91770,8,30,500,12,float
618,8_30_500_12_nonfl,22035,8,30,500,12,nonfl
702,8_30_500_20_float,47320,8,30,500,20,float
383,8_30_500_20_nonfl,2510,8,30,500,20,nonfl
